"ITTER107","Territorio","TIPO_DATO7","Indicatori trasporto aereo","ARRIVO_PARTENZA","Arrivo-Partenza                  ","AEROPORTI","Aeroporti ","SERVIZIO_AEREO_TIPO","Tipo di servizio aereo","ISO","Nazionalità vettore","ISO_OD","Origine / Destinazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","EUR","Europa","2018","2018",49342840,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2017","2017",1392112,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","EUR","Europa","2018","2018",1530591,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2017","2017",47945227,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","EUR","Europa","2018","2018",50873431,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",1375215,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1505437,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",17200,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",2563,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2017","2017",1392415,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1508000,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLNSH","charter internazionali","WORLD","Mondo","AU","Australia","2018","2018",166,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","AR","arrivi","TOTAL","Totale","ITLSE","voli internazionali","WORLD","Mondo","AU","Australia","2018","2018",166,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2017","2017",749424,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI","Asia","2018","2018",727882,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2017","2017",45244,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI","Asia","2018","2018",21187,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2017","2017",794668,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI","Asia","2018","2018",749069,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2017","2017",4415501,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","EUR","Europa","2018","2018",4409499,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2017","2017",174315,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","EUR","Europa","2018","2018",119981,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2017","2017",4589816,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","EUR","Europa","2018","2018",4529480,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",304022,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",353477,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",2469,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",1104,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2017","2017",306491,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","ASI_OTH","Altri Paesi dell'Asia","2018","2018",354581,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLNSH","charter internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2017","2017",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSE","voli internazionali","IT","Italia","AU","Australia","2018","2018",0,,
"IT","Italia","PASS","passeggeri trasportati","DE","partenze","TOTAL","Totale","ITLSH","linea internazionali","WORLD","Mondo","ASI","Asia","2017","2017",3917619,,
